ENTITY	CUI
Purge	C0722910
Oxaloacetic Acid	C0600556
Monarch	C1515915
STEP 2	C1875784
Lysine	C0024337
butylidenephthalide	C0054295
Liposomes	C0023828
Basis	C1874451
Tetracycline	C0039644
Dopamine Hydrochloride	C0282151
TimeLine Fluoride Releasing Resin	C0145943
Dopamine	C0013030
Dopamine Agonists	C0178601
Catecholamines	C0007412
Levodopa	C0023570
Dopaminergic Agents	C0013036
Inositol	C0021547
Calcium	C0006675
Perform	C2947996
Pharmaceutical Preparations	C0013227
Aim	C2948600
Zinostatin	C0027597
Choline	C0008405
Taurine	C0039350
Glutamine	C0017797
Tryptophan	C0041249
Loperamide	C0023992
Trehalose	C0040815
Sirolimus	C0072980
MG 132	C0246694
viral vector	C1520007
Fiber	C0225326
Duration	C2926735
43/63	C0607251
Ubiquinone Q2	C0077666
coenzyme Q10	C0056077
Antioxidants	C0003402
Program	C2728259
1-cyclohexyl-3-(2-(4-morpholinyl)ethyl)carbodiimide tosylate	C0110177
Murine	C0591833
Mediator brand of benfluorex hydrochloride	C0127400
Lignin	C0023705
Complex carbohydrate	C0556154
Level	C2946261
Dopa	C0013023
diazonaphthalenedisulfonic acid	C0057753
survive	C0310255
animal allergen extracts	C3540698
Endopeptidases	C0030946
Fluorodeoxyglucose F18	C0046056
Hexachlorobenzene	C0019432
AMINO ACIDS/PROTEINS	C1874187
Carbidopa / Levodopa	C0353697
Quinolinic Acid	C0072879
calpastatin	C0054534
8-chloro-cyclic adenosine monophosphate	C0050063
Metric	C0699680
Cytosine	C0010843
Ethanol	C0001962
Carbamazepine	C0006949
Calcium ion	C0596235
Lipids	C0023779
Malondialdehyde	C0024643
3,4-Methylenedioxyamphetamine	C0000379
G-1	C0720544
Monosaccharides	C0026492
Acetylglucosamine	C0001056
Therapeutic brand of coal tar	C0723712
Histone deacetylase inhibitor	C1512474
Sodium Valproate	C0037567
Valproate	C0080356
resveratrol	C0073096
Small Molecule	C1328819
bafilomycin A1	C0052919
wortmannin	C0078517
Candida albicans extract	C0717551
Oils, Volatile	C0028910
other medicated shampoos in ATC	C3539125
Befiradol	C2825610
Naloxone	C0027358
Agonist	C2987634
tandospirone	C0074676
Neuroprotective Agents	C0242912
Cholesterol	C0008377
Threonine	C0040005
Esters	C0014898
Suppressor	C2954564
favor	C0309049
Indoles	C0021242
4-aminophenol	C0048047
Arachidonic Acid	C0003695
AM 404	C0664569
quinoline	C0034423
Chalcone	C0007935
coumarin	C0010206
Recombinant Interferon-gamma	C0021740
Tretinoin	C0040845
rivastigmine	C0649350
Acetylcholinesterase Inhibitors	C0001046
Evans blue	C0015205
Fibrinogen	C0016006
antineoplaston A10	C0052080
Citalopram	C0008845
naphthyridine	C0178756
Melanins	C0025196
neuromelanin	C0068608
Disaccharides	C0012611
One-Step dentin bonding system	C0534010
Drugs used for the treatment of acute migraine	C1579373
Phosphoric Acid Esters	C0031701
Oxygen	C0030054
daidzein	C0057090
R-4263	C0700693
Phosphorus 32	C0851287
Phosphorothioate Oligonucleotides	C1519059
Disulfiram	C0012772
Carbohydrates	C0007004
Glycosylation End Products, Advanced	C0162574
Ibuprofen	C0020740
Divalproex Sodium	C0886883
prisma	C0138404
cresyl violet	C0056484
PHOSPHATE BUFFERS	C0991865
tetanus toxoid helper peptide	C1515333
Water	C0043047
Amino Acids	C0002520
SR 1078	C3177364
Stop brand of fluoride	C0723457
Cordycepin	C0056331
Adenosine Monophosphate	C0001465
Selective Serotonin Reuptake Inhibitors	C0360105
R-40	C0282815
Amyloid Proteins	C1456454
Clonazepam	C0009011
Trihexyphenidyl	C0041009
Specific Substance of Maruyama	C0075134
Deoxyglucose	C0011501
Ceramides	C0007745
Triglycerides	C0041004
Buffers	C0006353
Phosphocreatine	C0031634
Ryanodine	C0035983
Serotonin	C0036751
1,4-benzoquinone	C1096793
New medications	C1718097
Trimethoprim-Sulfamethoxazole Combination	C0041044
varenicline	C1569608
Lithium Carbonate	C0085217
Aminobutyric Acid	C0220780
caffeic acid	C0054433
Blockade	C3540676
tert-Butylhydroperoxide	C0076150
calpeptin	C0108192
Chloroquine	C0008269
